ticker,date,period_ending,estimate,reported,surprise,surprise%
LVS,2021-04-21,21-Mar,-0.27,-0.25,0.02,7.41
LW,2021-04-07,21-Feb,0.51,0.45,-0.06,-11.76
LYB,2021-04-30,21-Mar,2.65,3.18,0.53,20
LYFT,2021-05-04,21-Mar,-0.54,-0.36,0.18,33.33
LYV,2021-05-06,21-Mar,-1.66,-1.44,0.22,13.25
MA,2021-04-29,21-Mar,1.55,1.74,0.19,12.26
MAA,2021-04-28,21-Mar,1.61,0.4,-1.21,-75.16
MAN,2021-04-20,21-Mar,0.66,1.11,0.45,68.18
MANH,2021-04-27,21-Mar,0.32,0.43,0.11,34.38
MAR,2021-05-10,21-Mar,0.03,0.1,0.07,233.33
MAS,2021-04-28,21-Mar,0.66,0.89,0.23,34.85
MASI,2021-04-26,21-Mar,0.88,0.9,0.02,2.27
MAT,2021-04-22,21-Mar,-0.34,-0.1,0.24,70.59
MCD,2021-04-29,21-Mar,1.81,1.92,0.11,6.08
MCHP,2021-05-06,21-Mar,0.87,0.93,0.06,6.9
MCK,2021-05-06,21-Mar,5.02,5.05,0.03,0.6
MCO,2021-04-28,21-Mar,2.8,4.06,1.26,45
MCY,2021-05-04,21-Mar,1.25,1.34,0.09,7.2
MDB,2021-06-03,21-Apr,-0.36,-0.15,0.21,58.33
MDLZ,2021-04-27,21-Mar,0.69,0.77,0.08,11.59
MDT,2021-05-27,21-Apr,1.42,1.5,0.08,5.63
MDU,2021-05-05,21-Mar,0.2,0.26,0.06,30
MET,2021-05-05,21-Mar,1.48,2.2,0.72,48.65
MGM,2021-04-28,21-Mar,-0.86,-0.68,0.18,20.93
MHK,2021-04-29,21-Mar,2.8,3.49,0.69,24.64
MIDD,2021-05-06,21-Mar,1.63,1.79,0.16,9.82
MKC,2021-03-30,21-Feb,0.57,0.72,0.15,26.32
MKL,2021-04-28,21-Mar,11.37,10.12,-1.25,-10.99
MKSI,2021-04-26,21-Mar,2.17,2.56,0.39,17.97
MKTX,2021-04-22,21-Mar,2.12,2.11,-0.01,-0.47
MLM,2021-05-04,21-Mar,0.5,1.04,0.54,108
MMC,2021-04-27,21-Mar,1.7,1.99,0.29,17.06
MMM,2021-04-27,21-Mar,2.25,2.77,0.52,23.11
MNST,2021-05-06,21-Mar,0.61,0.59,-0.02,-3.28
MO,2021-04-29,21-Mar,1.04,1.07,0.03,2.88
MOH,2021-04-28,21-Mar,3.78,4.44,0.66,17.46
MOS,2021-05-03,21-Mar,0.5,0.57,0.07,14
MPC,2021-05-04,21-Mar,-0.72,-0.2,0.52,72.22
MPW,2021-04-29,21-Mar,0.42,0.27,-0.15,-35.71
MPWR,2021-05-04,21-Mar,1.33,1.46,0.13,9.77
MRCY,2021-05-04,21-Mar,0.63,0.64,0.01,1.59
MRK,2021-04-29,21-Mar,1.63,1.4,-0.23,-14.11
MRNA,2021-05-06,21-Mar,2.04,2.84,0.8,39.22
MRO,2021-05-05,21-Mar,0.13,0.21,0.08,61.54
MRTX,2021-05-06,21-Mar,-2.13,-2.67,-0.54,-25.35
MRVL,2021-06-07,21-Apr,0.27,0.29,0.02,7.41
MS,2021-04-16,21-Mar,1.72,2.22,0.5,29.07
MSA,2021-04-28,21-Mar,0.94,0.95,0.01,1.06
MSCI,2021-04-27,21-Mar,2.29,2.46,0.17,7.42
MSFT,2021-04-27,21-Mar,1.76,1.95,0.19,10.8
MSI,2021-05-06,21-Mar,1.62,1.87,0.25,15.43
MSM,2021-04-07,21-Feb,1.01,1.03,0.02,1.98
MTB,2021-04-19,21-Mar,2.96,3.41,0.45,15.2
MTCH,2021-05-04,21-Mar,0.46,0.67,0.21,45.65
MTD,2021-05-06,21-Mar,5.65,6.56,0.91,16.11
MTG,2021-05-05,21-Mar,0.42,0.42,0,0
MTN,2021-06-07,21-Apr,6.67,6.72,0.05,0.75
MTZ,2021-05-06,21-Mar,0.77,1.1,0.33,42.86
MU,2021-03-31,21-Feb,0.95,0.98,0.03,3.16
NATI,2021-04-29,21-Mar,0.31,0.32,0.01,3.23
NBIX,2021-05-05,21-Mar,0.47,0.33,-0.14,-29.79
NCLH,2021-05-06,21-Mar,-2.06,-2.03,0.03,1.46
NCR,2021-04-27,21-Mar,0.47,0.51,0.04,8.51
NDAQ,2021-04-21,21-Mar,1.74,1.96,0.22,12.64
NDSN,2021-05-24,21-Apr,1.65,2.12,0.47,28.48
NEE,2021-04-21,21-Mar,0.6,0.67,0.07,11.67
NEM,2021-04-29,21-Mar,0.75,0.74,-0.01,-1.33
NET,2021-05-06,21-Mar,-0.03,-0.03,0,0
NEWR,2021-05-13,21-Mar,-0.46,-0.27,0.19,41.3
NFE,2021-05-07,21-Mar,0.05,-0.21,-0.26,-520
NFG,2021-05-06,21-Mar,1.22,1.34,0.12,9.84
NFLX,2021-04-20,21-Mar,2.98,3.75,0.77,25.84
NI,2021-05-05,21-Mar,0.77,0.77,0,0
NKE,2021-03-18,21-Feb,0.75,0.9,0.15,20
NKTR,2021-05-06,21-Mar,-0.72,-0.68,0.04,5.56
NLSN,2021-05-06,21-Mar,0.32,0.47,0.15,46.88
NLY,2021-04-28,21-Mar,0.26,0.29,0.03,11.54
NNN,2021-05-04,21-Mar,0.64,0.3,-0.34,-53.13
NOC,2021-04-29,21-Mar,5.48,6.57,1.09,19.89
NOV,2021-04-27,21-Mar,-0.23,-0.28,-0.05,-21.74
NOW,2021-04-28,21-Mar,1.34,1.52,0.18,13.43
NRG,2021-05-06,21-Mar,1.64,0.84,-0.8,-48.78
NRZ,2021-05-05,21-Mar,0.34,0.34,0,0
NSC,2021-04-28,21-Mar,2.55,2.66,0.11,4.31
NTAP,2021-06-02,21-Apr,1.12,1.17,0.05,4.46
NTNX,2021-05-26,21-Apr,-0.47,-0.41,0.06,12.77
NTRA,2021-05-06,21-Mar,-1.05,-0.74,0.31,29.52
NTRS,2021-04-20,21-Mar,1.51,1.7,0.19,12.58
NUAN,2021-05-10,21-Mar,0.17,0.2,0.03,17.65
NUE,2021-04-22,21-Mar,3.14,3.1,-0.04,-1.27
NVAX,2021-05-10,21-Mar,-2.65,-3.05,-0.4,-15.09
NVCR,2021-04-29,21-Mar,0.01,-0.04,-0.05,-500
NVDA,2021-05-26,21-Apr,0.82,0.92,0.1,12.2
NVR,2021-04-21,21-Mar,61.9,63.21,1.31,2.12
NVST,2021-05-05,21-Mar,0.31,0.54,0.23,74.19
NVT,2021-04-29,21-Mar,0.35,0.43,0.08,22.86
NWL,2021-04-30,21-Mar,0.14,0.3,0.16,114.29
NWSA,2021-05-06,21-Mar,0.01,0.09,0.08,800
NXPI,2021-04-26,21-Mar,2.21,2.31,0.1,4.52
NXST,2021-05-04,21-Mar,3.11,4.42,1.31,42.12
NYCB,2021-04-26,21-Mar,0.27,0.29,0.02,7.41
