ticker,date,period_ending,estimate,reported,surprise,surprise%
TRMB,2021-05-05,21-Mar,0.56,0.66,0.1,17.86
TROW,2021-04-29,21-Mar,2.92,3.01,0.09,3.08
TRU,2021-04-27,21-Mar,0.8,0.91,0.11,13.75
TRV,2021-04-20,21-Mar,2.44,2.73,0.29,11.89
TSCO,2021-04-22,21-Mar,0.99,1.55,0.56,56.57
TSLA,2021-04-26,21-Mar,0.79,0.93,0.14,17.72
TSN,2021-05-10,21-Mar,1.11,1.34,0.23,20.72
TTC,2021-06-03,21-Apr,1.23,1.29,0.06,4.88
TTD,2021-05-10,21-Mar,0.08,0.14,0.06,75
TTWO,2021-05-18,21-Mar,0.68,1.44,0.76,111.76
TW,2021-04-29,21-Mar,0.43,0.43,0,0
TWLO,2021-05-05,21-Mar,-0.1,0.05,0.15,150
TWTR,2021-04-29,21-Mar,0.14,0.16,0.02,14.29
TXG,2021-05-05,21-Mar,-0.25,-0.11,0.14,56
TXN,2021-04-27,21-Mar,1.56,1.87,0.31,19.87
TXT,2021-04-29,21-Mar,0.47,0.7,0.23,48.94
TYL,2021-04-28,21-Mar,1.31,1.43,0.12,9.16
UA,2021-05-04,21-Mar,0.04,0.16,0.12,300
UAA,2021-05-04,21-Mar,0.04,0.16,0.12,300
UAL,2021-04-19,21-Mar,-6.97,-7.5,-0.53,-7.6
UBER,2021-05-05,21-Mar,-0.56,-0.42,0.14,25
UDR,2021-04-27,21-Mar,0.48,0.01,-0.47,-97.92
UGI,2021-05-05,21-Mar,1.72,1.99,0.27,15.7
UHAL,2021-05-26,21-Mar,5.07,3.76,-1.31,-25.84
UHS,2021-04-26,21-Mar,2.15,2.44,0.29,13.49
ULTA,2021-05-27,21-Apr,1.92,4.1,2.18,113.54
UMPQ,2021-04-21,21-Mar,0.45,0.49,0.04,8.89
UNH,2021-04-15,21-Mar,4.42,5.31,0.89,20.14
UNM,2021-05-05,21-Mar,0.98,1.04,0.06,6.12
UNP,2021-04-22,21-Mar,2.06,2,-0.06,-2.91
UNVR,2021-05-07,21-Mar,0.32,0.43,0.11,34.38
UPS,2021-04-27,21-Mar,1.67,2.77,1.1,65.87
UPST,2021-05-11,21-Mar,0.15,0.22,0.07,46.67
URI,2021-04-28,21-Mar,3.1,3.45,0.35,11.29
USB,2021-04-15,21-Mar,0.95,1.45,0.5,52.63
USFD,2021-05-10,21-Mar,0.07,0.12,0.05,71.43
UTHR,2021-05-05,21-Mar,2.6,0.61,-1.99,-76.54
V,2021-04-27,21-Mar,1.26,1.38,0.12,9.52
VAC,2021-05-05,21-Mar,-0.29,-0.49,-0.2,-68.97
VEEV,2021-05-27,21-Apr,0.78,0.91,0.13,16.67
VFC,2021-05-21,21-Mar,0.3,0.27,-0.03,-10
VICI,2021-04-29,21-Mar,0.47,0.5,0.03,6.38
VIRT,2021-05-04,21-Mar,1.3,2.04,0.74,56.92
VLO,2021-04-22,21-Mar,-1.91,-1.73,0.18,9.42
VMC,2021-05-04,21-Mar,0.41,0.69,0.28,68.29
